rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__min_samples_leaf,params,split0_test_score,split0_train_score
1,0.4254333117063676,0.0,0.4444854552584835,0.0,55.96333146095276,0.0,1.6226580142974854,0.0,0.01,20,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 20}",0.4254333117063676,0.4444854552584835
2,0.42506256372230977,0.0,0.4452928556598768,0.0,54.43840837478638,0.0,1.4371562004089355,0.0,0.01,1,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 1}",0.42506256372230977,0.4452928556598768
3,0.422281953841876,0.0,0.43777249763547027,0.0,57.58698868751526,0.0,1.4401483535766602,0.0,0.01,100,"{'model__learning_rate': 0.01, 'model__min_samples_leaf': 100}",0.422281953841876,0.43777249763547027
4,0.3653721382889981,0.0,0.45175205887102354,0.0,48.79450273513794,0.0,1.3783152103424072,0.0,0.1,20,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 20}",0.3653721382889981,0.45175205887102354
5,0.34275651126147,0.0,0.3426376617684376,0.0,53.811086654663086,0.0,1.5069680213928223,0.0,0.001,1,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 1}",0.34275651126147,0.3426376617684376
5,0.34275651126147,0.0,0.3426376617684376,0.0,54.208025217056274,0.0,1.4790446758270264,0.0,0.001,20,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 20}",0.34275651126147,0.3426376617684376
5,0.34275651126147,0.0,0.3426376617684376,0.0,56.10594820976257,0.0,1.643603801727295,0.0,0.001,100,"{'model__learning_rate': 0.001, 'model__min_samples_leaf': 100}",0.34275651126147,0.3426376617684376
5,0.34275651126147,0.0,0.3426376617684376,0.0,29.190932750701904,0.0,0.7958693504333496,0.0,0.1,1,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 1}",0.34275651126147,0.3426376617684376
5,0.34275651126147,0.0,0.3426376617684376,0.0,11.307758569717407,0.0,0.40790820121765137,0.0,1,1,"{'model__learning_rate': 1, 'model__min_samples_leaf': 1}",0.34275651126147,0.3426376617684376
5,0.34275651126147,0.0,0.3426376617684376,0.0,8.544148206710815,0.0,0.3370981216430664,0.0,10,1,"{'model__learning_rate': 10, 'model__min_samples_leaf': 1}",0.34275651126147,0.3426376617684376
11,0.19788673649087032,2.7755575615628914e-17,0.2010657685298392,0.0,9.693077087402344,0.0,0.3789844512939453,0.0,1,100,"{'model__learning_rate': 1, 'model__min_samples_leaf': 100}",0.19788673649087035,0.2010657685298392
11,0.19788673649087032,2.7755575615628914e-17,0.2010657685298392,0.0,7.978661775588989,0.0,0.3540534973144531,0.0,10,20,"{'model__learning_rate': 10, 'model__min_samples_leaf': 20}",0.19788673649087035,0.2010657685298392
11,0.19788673649087032,2.7755575615628914e-17,0.2010657685298392,0.0,7.818089723587036,0.0,0.3390941619873047,0.0,10,100,"{'model__learning_rate': 10, 'model__min_samples_leaf': 100}",0.19788673649087035,0.2010657685298392
14,0.08471591435721568,0.0,0.08408498465939238,0.0,10.355304956436157,0.0,0.39394688606262207,0.0,1,20,"{'model__learning_rate': 1, 'model__min_samples_leaf': 20}",0.08471591435721568,0.08408498465939238
15,0.047455741959403094,0.0,0.04687536044660776,0.0,27.351847410202026,0.0,0.957439661026001,0.0,0.1,100,"{'model__learning_rate': 0.1, 'model__min_samples_leaf': 100}",0.047455741959403094,0.04687536044660776
