rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__eta,param_model__gamma,param_model__lambda,params,split0_test_score,split0_train_score
27,0.42469181573825193,0.0,0.44347043761101756,0.0,315.9849183559418,0.0,1.5209321975708008,0.0,0.01,10,0.01,"{'model__eta': 0.01, 'model__gamma': 10, 'model__lambda': 0.01}",0.42469181573825193,0.44347043761101756
28,0.42441375475020854,0.0,0.44326282036494496,0.0,316.6970133781433,0.0,1.4301745891571045,0.0,0.01,10,0.001,"{'model__eta': 0.01, 'model__gamma': 10, 'model__lambda': 0.001}",0.42441375475020854,0.44326282036494496
29,0.4243210677541941,0.0,0.45230570486055044,0.0,311.8928635120392,0.0,2.47737455368042,0.0,0.01,0,0.001,"{'model__eta': 0.01, 'model__gamma': 0, 'model__lambda': 0.001}",0.4243210677541941,0.45230570486055044
30,0.42422838075817965,0.0,0.4521672933631687,0.0,321.7375338077545,0.0,2.774580240249634,0.0,0.01,0,0.0001,"{'model__eta': 0.01, 'model__gamma': 0, 'model__lambda': 0.0001}",0.42422838075817965,0.4521672933631687
31,0.4240430067661507,0.0,0.4522134305289626,0.0,315.3206944465637,0.0,2.359689474105835,0.0,0.01,0,0.01,"{'model__eta': 0.01, 'model__gamma': 0, 'model__lambda': 0.01}",0.4240430067661507,0.4522134305289626
32,0.42395031977013625,0.0,0.43811852637892457,0.0,304.08773589134216,0.0,0.7140908241271973,0.0,1,10,100,"{'model__eta': 1, 'model__gamma': 10, 'model__lambda': 100}",0.42395031977013625,0.43811852637892457
33,0.4237649457781073,0.0,0.4487070059286258,0.0,295.2533640861511,0.0,2.149251937866211,0.0,0.01,0,1,"{'model__eta': 0.01, 'model__gamma': 0, 'model__lambda': 1}",0.4237649457781073,0.4487070059286258
34,0.4229307628139772,0.0,0.43468130752727857,0.0,298.8477506637573,0.0,1.1269862651824951,0.0,0.1,10,100,"{'model__eta': 0.1, 'model__gamma': 10, 'model__lambda': 100}",0.4229307628139772,0.43468130752727857
35,0.42265270182593384,0.0,0.4391566126092874,0.0,297.5691714286804,0.0,1.7463295459747314,0.0,0.01,10,1,"{'model__eta': 0.01, 'model__gamma': 10, 'model__lambda': 1}",0.42265270182593384,0.4391566126092874
36,0.42052090091760125,0.0,0.436434519827447,0.0,295.3421263694763,0.0,2.1173365116119385,0.0,0.1,0,1000,"{'model__eta': 0.1, 'model__gamma': 0, 'model__lambda': 1000}",0.42052090091760125,0.436434519827447
