rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
1,0.3983687088701455,0.0,0.9886041200489054,0.0,2.1522436141967773,0.0,0.06083846092224121,0.0,1,2,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.3983687088701455,0.9886041200489054
2,0.2662897395495412,0.0,0.5471406491499228,0.0,1.5717980861663818,0.0,0.07779097557067871,0.0,1,20,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 20}",0.2662897395495412,0.5471406491499228
3,0.21447770877745853,0.0,0.33234907379639667,0.0,1.2646167278289795,0.0,0.06283307075500488,0.0,20,2,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 2}",0.21447770877745853,0.33234907379639667
3,0.21447770877745853,0.0,0.33234907379639667,0.0,1.4770495891571045,0.0,0.06383109092712402,0.0,20,20,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 20}",0.21447770877745853,0.33234907379639667
5,0.20131615534340533,0.0,0.28976446976862213,0.0,1.4361615180969238,0.0,0.0498654842376709,0.0,1,100,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.20131615534340533,0.28976446976862213
6,0.18898878487348225,0.0,0.26249740478442407,0.0,1.3463983535766602,0.0,0.0578455924987793,0.0,20,100,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 100}",0.18898878487348225,0.26249740478442407
7,0.16831958476225786,0.0,0.19947403630994945,0.0,1.1419470310211182,0.0,0.047872066497802734,0.0,100,2,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.16831958476225786,0.19947403630994945
7,0.16831958476225786,0.0,0.19947403630994945,0.0,1.143939733505249,0.0,0.04787182807922363,0.0,100,20,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 20}",0.16831958476225786,0.19947403630994945
7,0.16831958476225786,0.0,0.19947403630994945,0.0,0.7659509181976318,0.0,0.032912254333496094,0.0,100,100,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.16831958476225786,0.19947403630994945
