rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__leaf_size,param_model__n_neighbors,param_model__p,params,split0_test_score,split0_train_score
1,0.388173139308555,0.0,0.4492606519181527,0.0,3.357020378112793,0.0,34.405986070632935,0.0,20,19,1,"{'model__leaf_size': 20, 'model__n_neighbors': 19, 'model__p': 1}",0.388173139308555,0.4492606519181527
1,0.388173139308555,0.0,0.44930678908394656,0.0,3.0987110137939453,0.0,39.87535643577576,0.0,30,19,1,"{'model__leaf_size': 30, 'model__n_neighbors': 19, 'model__p': 1}",0.388173139308555,0.44930678908394656
1,0.388173139308555,0.0,0.44930678908394656,0.0,3.604361057281494,0.0,48.24297595024109,0.0,50,19,1,"{'model__leaf_size': 50, 'model__n_neighbors': 19, 'model__p': 1}",0.388173139308555,0.44930678908394656
1,0.388173139308555,0.0,0.44930678908394656,0.0,3.4767017364501953,0.0,42.47640061378479,0.0,80,19,1,"{'model__leaf_size': 80, 'model__n_neighbors': 19, 'model__p': 1}",0.388173139308555,0.44930678908394656
5,0.3848364074520344,0.0,0.45405891716071883,0.0,3.071784734725952,0.0,31.993436574935913,0.0,20,17,1,"{'model__leaf_size': 20, 'model__n_neighbors': 17, 'model__p': 1}",0.3848364074520344,0.45405891716071883
5,0.3848364074520344,0.0,0.45408198574361575,0.0,2.969057321548462,0.0,39.04258418083191,0.0,30,17,1,"{'model__leaf_size': 30, 'model__n_neighbors': 17, 'model__p': 1}",0.3848364074520344,0.45408198574361575
7,0.38465103346000556,0.0,0.45408198574361575,0.0,3.662205696105957,0.0,46.438802003860474,0.0,50,17,1,"{'model__leaf_size': 50, 'model__n_neighbors': 17, 'model__p': 1}",0.38465103346000556,0.45408198574361575
7,0.38465103346000556,0.0,0.45408198574361575,0.0,2.9880080223083496,0.0,45.174185276031494,0.0,80,17,1,"{'model__leaf_size': 80, 'model__n_neighbors': 17, 'model__p': 1}",0.38465103346000556,0.45408198574361575
9,0.38122161460747056,0.0,0.44236314563196383,0.0,2.7895381450653076,0.0,26.29767084121704,0.0,20,19,2,"{'model__leaf_size': 20, 'model__n_neighbors': 19, 'model__p': 2}",0.38122161460747056,0.44236314563196383
9,0.38122161460747056,0.0,0.44234007704906686,0.0,3.123645544052124,0.0,31.61544680595398,0.0,50,19,2,"{'model__leaf_size': 50, 'model__n_neighbors': 19, 'model__p': 2}",0.38122161460747056,0.44234007704906686
9,0.38122161460747056,0.0,0.44234007704906686,0.0,2.758622884750366,0.0,27.644067764282227,0.0,80,19,2,"{'model__leaf_size': 80, 'model__n_neighbors': 19, 'model__p': 2}",0.38122161460747056,0.44234007704906686
12,0.38112892761145617,0.0,0.44236314563196383,0.0,2.718729019165039,0.0,27.238152027130127,0.0,30,19,2,"{'model__leaf_size': 30, 'model__n_neighbors': 19, 'model__p': 2}",0.38112892761145617,0.44236314563196383
13,0.379089813699138,0.0,0.45984913146785394,0.0,3.776123285293579,0.0,47.60332369804382,0.0,50,15,1,"{'model__leaf_size': 50, 'model__n_neighbors': 15, 'model__p': 1}",0.379089813699138,0.45984913146785394
13,0.379089813699138,0.0,0.45984913146785394,0.0,2.9830217361450195,0.0,47.810134410858154,0.0,80,15,1,"{'model__leaf_size': 80, 'model__n_neighbors': 15, 'model__p': 1}",0.379089813699138,0.45984913146785394
15,0.3789971267031236,0.0,0.45987220005075086,0.0,3.3929247856140137,0.0,31.247430562973022,0.0,20,15,1,"{'model__leaf_size': 20, 'model__n_neighbors': 15, 'model__p': 1}",0.3789971267031236,0.45987220005075086
15,0.3789971267031236,0.0,0.45987220005075086,0.0,3.6801583766937256,0.0,36.47444939613342,0.0,30,15,1,"{'model__leaf_size': 30, 'model__n_neighbors': 15, 'model__p': 1}",0.3789971267031236,0.45987220005075086
17,0.3767726387987766,0.0,0.46928418187270754,0.0,2.7426650524139404,0.0,32.03632092475891,0.0,20,13,1,"{'model__leaf_size': 20, 'model__n_neighbors': 13, 'model__p': 1}",0.3767726387987766,0.46928418187270754
17,0.3767726387987766,0.0,0.4693303190385015,0.0,3.0019702911376953,0.0,34.32420229911804,0.0,30,13,1,"{'model__leaf_size': 30, 'model__n_neighbors': 13, 'model__p': 1}",0.3767726387987766,0.4693303190385015
17,0.3767726387987766,0.0,0.4693072504556045,0.0,3.7389988899230957,0.0,42.19515132904053,0.0,50,13,1,"{'model__leaf_size': 50, 'model__n_neighbors': 13, 'model__p': 1}",0.3767726387987766,0.4693072504556045
17,0.3767726387987766,0.0,0.4693072504556045,0.0,3.335080623626709,0.0,41.75931692123413,0.0,80,13,1,"{'model__leaf_size': 80, 'model__n_neighbors': 13, 'model__p': 1}",0.3767726387987766,0.4693072504556045
21,0.3751969598665308,0.0,0.44723061662322083,0.0,3.2144041061401367,0.0,26.087230920791626,0.0,20,17,2,"{'model__leaf_size': 20, 'model__n_neighbors': 17, 'model__p': 2}",0.3751969598665308,0.44723061662322083
21,0.3751969598665308,0.0,0.4472536852061178,0.0,3.006958246231079,0.0,27.26508140563965,0.0,30,17,2,"{'model__leaf_size': 30, 'model__n_neighbors': 17, 'model__p': 2}",0.3751969598665308,0.4472536852061178
21,0.3751969598665308,0.0,0.44718447945742695,0.0,3.3999083042144775,0.0,30.708870887756348,0.0,50,17,2,"{'model__leaf_size': 50, 'model__n_neighbors': 17, 'model__p': 2}",0.3751969598665308,0.44718447945742695
